Tick,TrainID,X,Y,Direction,State
0,0,2,1,RIGHT,RUNNING
1,0,3,1,RIGHT,RUNNING
2,0,4,1,RIGHT,RUNNING
3,0,5,1,RIGHT,RUNNING
3,1,2,4,RIGHT,RUNNING
4,0,6,1,RIGHT,RUNNING
4,1,3,4,RIGHT,RUNNING
5,0,7,1,RIGHT,RUNNING
5,1,4,4,RIGHT,RUNNING
6,0,8,1,RIGHT,RUNNING
6,1,5,4,RIGHT,RUNNING
7,0,9,1,RIGHT,RUNNING
8,0,10,1,DOWN,RUNNING
9,0,10,2,DOWN,RUNNING
9,3,2,10,RIGHT,RUNNING
10,0,10,3,DOWN,RUNNING
10,3,3,10,RIGHT,RUNNING
11,0,10,4,LEFT,RUNNING
11,3,4,10,RIGHT,RUNNING
12,0,9,4,LEFT,RUNNING
12,3,5,10,RIGHT,RUNNING
13,0,8,4,LEFT,RUNNING
13,3,6,10,RIGHT,RUNNING
14,0,7,4,LEFT,RUNNING
14,3,7,10,RIGHT,RUNNING
15,3,8,10,RIGHT,RUNNING
16,3,9,10,RIGHT,RUNNING
17,3,10,10,DOWN,RUNNING
18,3,10,11,DOWN,RUNNING
19,3,10,12,DOWN,RUNNING
20,3,10,13,DOWN,RUNNING
21,3,10,14,DOWN,RUNNING
22,3,10,15,DOWN,RUNNING
